program_id,datetime,star,user,result,time,memory,language,problem_code,uses recursion,uses iteration
34896649,11:20 AM 01/07/20,0,vjudge1,accepted,0.00,5.8M,C++17,ECJN202,0,0
34896709,11:24 AM 01/07/20,0,vjudge11,accepted,0.00,5.8M,C++17,ECJN202,0,0
34896759,11:26 AM 01/07/20,3,egor091,accepted,0.00,14.9M,C++14,ECJN202,false,true
34896836,11:30 AM 01/07/20,3,srajang_123,accepted,0.00,16.1M,C++14,ECJN202,true,true
34896879,11:32 AM 01/07/20,0,vjudge4,accepted,0.00,2.4M,C++17,ECJN202,0,0
34897028,11:39 AM 01/07/20,3,ashharali_786,accepted,0.00,15.7M,C++14,ECJN202,false,true
34897161,11:44 AM 01/07/20,0,vjudge5,accepted,0.00,9.2M,C,ECJN202,0,0
34897342,11:52 AM 01/07/20,0,vjudge4,accepted,0.00,14.9M,C++14,ECJN202,false,true
34897736,12:08 PM 01/07/20,3,c0de_y0da,accepted,0.01,17.6M,PYTH 3.6,ECJN202,0,0
34898413,12:38 PM 01/07/20,4,balakrushna,accepted,0.00,14.9M,C++14,ECJN202,false,true
34899006,01:07 PM 01/07/20,0,chandanbagan27,wrong answer,0.00,14.9M,C++14,ECJN202,false,true
34899013,01:08 PM 01/07/20,0,chandanbagan27,accepted,0.00,14.9M,C++14,ECJN202,false,true
34899253,01:21 PM 01/07/20,2,meghna_1208,accepted,0.00,9.2M,C,ECJN202,0,0
34899510,01:34 PM 01/07/20,2,tom_crusie,accepted,0.00,14.9M,C++14,ECJN202,true,true
34899737,01:46 PM 01/07/20,2,panda_27,accepted,0.01,17.5M,PYTH 3.6,ECJN202,0,0
34900760,02:46 PM 01/07/20,0,kcdrathan,accepted,0.01,17.6M,PYTH 3.6,ECJN202,0,0
34900827,02:50 PM 01/07/20,4,deepak1141,accepted,0.00,14.9M,C++14,ECJN202,false,true
34900946,02:56 PM 01/07/20,4,notsoloud,accepted,0.00,14.9M,C++14,ECJN202,false,true
34900954,02:56 PM 01/07/20,4,notsoloud,accepted,0.00,14.9M,C++14,ECJN202,false,true
34901268,03:11 PM 01/07/20,0,naren8272,wrong answer,0.00,14.9M,C++14,ECJN202,false,true
34901274,03:11 PM 01/07/20,2,shreyash_sohan,wrong answer,0.00,14.9M,C++14,ECJN202,true,true
34901290,03:12 PM 01/07/20,2,shreyash_sohan,wrong answer,0.00,14.9M,C++14,ECJN202,true,true
34901504,03:18 PM 01/07/20,2,shreyash_sohan,wrong answer,0.00,14.9M,C++14,ECJN202,false,true
34901562,03:20 PM 01/07/20,2,shreyash_sohan,wrong answer,0.00,15.7M,C++14,ECJN202,false,true
34901596,03:21 PM 01/07/20,2,shreyash_sohan,wrong answer,0.00,14.9M,C++14,ECJN202,false,true
34901599,03:21 PM 01/07/20,0,naren8272,wrong answer,0.00,14.9M,C++14,ECJN202,false,true
34901634,03:21 PM 01/07/20,2,shreyash_sohan,accepted,0.00,14.9M,C++14,ECJN202,false,true
34901670,03:22 PM 01/07/20,2,shreyash_sohan,accepted,0.00,14.9M,C++14,ECJN202,false,true
34901750,03:24 PM 01/07/20,0,naren8272,wrong answer,0.00,14.9M,C++14,ECJN202,false,true
34901793,03:25 PM 01/07/20,0,naren8272,wrong answer,0.00,14.9M,C++14,ECJN202,false,true
34901848,03:27 PM 01/07/20,0,naren8272,wrong answer,0.00,14.9M,C++14,ECJN202,false,true
34901918,03:28 PM 01/07/20,0,naren8272,wrong answer,0.00,14.9M,C++14,ECJN202,false,true
34901982,03:30 PM 01/07/20,0,naren8272,wrong answer,0.00,14.9M,C++14,ECJN202,false,true
34901997,03:30 PM 01/07/20,1,tiwaripalak01,wrong answer,0.00,1819.5M,C++14,ECJN202,false,true
34902147,03:33 PM 01/07/20,1,tiwaripalak01,runtime error(SIGSEGV),0.00,14.9M,C++14,ECJN202,false,true
34902170,03:34 PM 01/07/20,0,naren8272,wrong answer,0.00,14.9M,C++14,ECJN202,false,true
34902186,03:34 PM 01/07/20,1,tiwaripalak01,wrong answer,0.00,14.9M,C++14,ECJN202,false,true
34902189,03:34 PM 01/07/20,0,naren8272,accepted,0.00,14.9M,C++14,ECJN202,false,true
34902248,03:36 PM 01/07/20,1,tiwaripalak01,wrong answer,0.00,14.9M,C++14,ECJN202,false,true
34902297,03:37 PM 01/07/20,1,tiwaripalak01,accepted,0.00,14.9M,C++14,ECJN202,false,true
34904055,04:15 PM 01/07/20,1,ashutosh0903,accepted,0.01,17.6M,PYTH 3.6,ECJN202,0,0
34904672,04:29 PM 01/07/20,2,destructive_ya,wrong answer,0.00,14.9M,C++14,ECJN202,true,true
34904716,04:31 PM 01/07/20,2,destructive_ya,wrong answer,0.00,14.9M,C++14,ECJN202,true,true
34905087,04:39 PM 01/07/20,2,destructive_ya,wrong answer,0.00,14.9M,C++14,ECJN202,true,true
34905152,04:41 PM 01/07/20,2,alokit35,accepted,0.00,14.9M,C++14,ECJN202,0,0
34905381,04:46 PM 01/07/20,4,cryptobrat,accepted,0.05,2133M,JAVA,ECJN202,0,0
34905535,04:49 PM 01/07/20,2,destructive_ya,accepted,0.00,5.8M,C++17,ECJN202,0,0
34905570,04:50 PM 01/07/20,2,destructive_ya,accepted,0.00,6M,C++17,ECJN202,0,0
34907684,05:43 PM 01/07/20,3,kranuj3122,accepted,0.00,14.9M,C++14,ECJN202,0,0
34907925,05:49 PM 01/07/20,4,suman_2001,accepted,0.02,17.6M,PYTH 3.6,ECJN202,0,0
34908215,05:56 PM 01/07/20,2,tarun_010,accepted,0.11,2133M,JAVA,ECJN202,0,0
34909028,06:19 PM 01/07/20,4,manishk_1999,wrong answer,0.00,14.9M,C++14,ECJN202,0,0
34909058,06:20 PM 01/07/20,4,manishk_1999,accepted,0.00,14.9M,C++14,ECJN202,0,0
